DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2021-Q3,189094,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,NLD,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2022-Q3,200089,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q3,362131,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q2,379100,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2005-Q1,364451.3,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q4,372350.7,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q3,349058,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,FRA,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2004-Q2,359595.8,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q2,5106.6,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2017-Q1,4574.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q4,4867.6,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,EST,S1,S1,B6G,_Z,_Z,_Z,XDC,V,N,T0107,2016-Q3,4561.2,,,F,1,A,6,EUR
